URL,Title,Description,H1/раздел
https://ligus-msk.ru/,Лигус — российская техника для организаций и госучреждений,"Подбор и поставка российской техники для организаций. Ноутбуки, моноблоки, АРМ, МФУ. Проверка реестра Минпромторга, помощь с ТЗ и расчёт спецификации.",Лигус
https://ligus-msk.ru/production/,Компьютерная техника для организаций — поставки | Лигус,"Компьютеры, ноутбуки, МФУ, серверы, российское ПО и бытовая техника для учреждений. Помощь с подбором и комплектацией. Поставки по России и СНГ.",Продукция
https://ligus-msk.ru/production/laptops/,Российские ноутбуки для организаций — подбор и поставка | Лигус,"Подберём российские ноутбуки для школ, учреждений и бизнеса. Проверим реестровые записи, поможем сформировать ТЗ и рассчитаем поставку по вашей спецификации.",Российские ноутбуки и планшеты
https://ligus-msk.ru/production/computers/,"Российские компьютеры, моноблоки и АРМ для организаций | Лигус","Поставка российских компьютеров, системных блоков, моноблоков и АРМ для организаций. Подбор комплектации, проверка реестра и подготовка спецификации.","Российские компьютеры, моноблоки и АРМ"
https://ligus-msk.ru/production/displays/,Мониторы и интерактивные панели для учреждений | Лигус,"Мониторы и интерактивные панели для школ, учебных классов и переговорных. Подбор размера, подключения и комплектации. Расчёт поставки для организаций.",Мониторы и интерактивные панели
https://ligus-msk.ru/production/printers/,Принтеры и МФУ для организаций — подбор и поставка | Лигус,"Принтеры и МФУ для учреждений и бизнеса. Подбор по объёму печати, формату и расходным материалам. Проверка происхождения модели под условия закупки.",Принтеры и МФУ для организаций
https://ligus-msk.ru/production/servers/,Серверы и сетевое оборудование для организаций | Лигус,"Подбор серверов, систем хранения, коммутаторов и маршрутизаторов. Проверка совместимости, комплектация и расчёт поставки для вашей инфраструктуры.",Серверы и сетевое оборудование
https://ligus-msk.ru/production/peripherals/,Периферия и ИБП для рабочих мест — поставки | Лигус,"Поставка периферии, ИБП, док-станций и аксессуаров для организаций. Подбор под оборудование, разъёмы и нагрузку. Комплектация рабочих мест.",Периферия и ИБП
https://ligus-msk.ru/production/software/,Российское ПО для организаций — подбор лицензий | Лигус,"Российские операционные системы, офисные приложения и средства защиты. Подбор лицензий, проверка совместимости и сведений в реестре российского ПО.",Российское программное обеспечение
https://ligus-msk.ru/production/electronics/,Проекторы и мультимедиа для школ и организаций | Лигус,"Проекторы, экраны, акустика и оборудование для видеосвязи. Подбор для учебных классов и переговорных, совместимая комплектация и расчёт поставки.",Проекторы и мультимедиа
https://ligus-msk.ru/production/appliances/,Бытовая техника для учреждений — комплексные поставки | Лигус,"Подбор бытовой техники для школ, общежитий, офисов и социальных объектов. Учтём нагрузку, размеры и подключение. Подготовим спецификацию поставки.",Бытовая техника для учреждений
https://ligus-msk.ru/production/complex/,Комплексное оснащение учреждений и рабочих мест | Лигус,"Оснащение школ, офисов и учреждений компьютерной, офисной и бытовой техникой. Помощь с составом оборудования, техническим заданием и единой спецификацией.",Комплексное оснащение учреждений
https://ligus-msk.ru/russian-equipment/,Техника из реестра Минпромторга для организаций | Лигус,Подбор российской техники с проверкой конкретной модели в реестре Минпромторга. Помощь с техническими требованиями и комплектацией закупки.,Российская техника
https://ligus-msk.ru/services/,"Подбор техники, подготовка ТЗ и расчёт поставки | Лигус","Помощь с выбором оборудования, формированием ТЗ и спецификации. Коммерческое предложение, комплектация и организация поставки для учреждений и бизнеса.",Услуги
https://ligus-msk.ru/customers/,"Техника для закупок по 44-ФЗ, 223-ФЗ и бизнеса | Лигус","Подбор оборудования для государственных и коммерческих закупок. Помощь с техническими характеристиками, спецификацией и коммерческим предложением.",Заказчикам
https://ligus-msk.ru/about/,О компании Лигус — поставки техники для организаций,"Лигус помогает организациям подобрать оборудование, сформировать технические требования и организовать поставку. Работаем по России и странам СНГ.",О компании
https://ligus-msk.ru/contacts/,Контакты Лигус — подбор и поставка оборудования,"Свяжитесь с Лигус: +7 977 977 22 31, tender@ligus-msk.ru. Обсудим подбор техники, комплектацию и условия поставки по России и странам СНГ.",Контакты
