Доп. объявление группы	Название группы	Номер группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Заголовок 3	Заголовок 4	Текст 1	Текст 2	Текст 3	Ссылка	Минус-фразы на кампанию	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Уточнения
-	Российские моноблоки	4	купить российские моноблоки	Российские моноблоки для организаций	Моноблоки для учреждений — подбор и поставка	Подберём моноблоки под ваши рабочие задачи	Лигус — комплектация рабочих мест	Подбор по задачам и бюджету. Проверим модель в реестре, подготовим КП.	Учтём нужные программы, периферию и количество рабочих мест. Обсудим поставку.	Поможем сформировать ТЗ или рассчитаем готовую спецификацию.	https://ligus-msk.ru/production/computers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Российские моноблоки	4	российские моноблоки для организаций	Российские моноблоки для организаций	Моноблоки для учреждений — подбор и поставка	Подберём моноблоки под ваши рабочие задачи	Лигус — комплектация рабочих мест	Подбор по задачам и бюджету. Проверим модель в реестре, подготовим КП.	Учтём нужные программы, периферию и количество рабочих мест. Обсудим поставку.	Поможем сформировать ТЗ или рассчитаем готовую спецификацию.	https://ligus-msk.ru/production/computers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Российские моноблоки	4	моноблоки из реестра минпромторга	Российские моноблоки для организаций	Моноблоки для учреждений — подбор и поставка	Подберём моноблоки под ваши рабочие задачи	Лигус — комплектация рабочих мест	Подбор по задачам и бюджету. Проверим модель в реестре, подготовим КП.	Учтём нужные программы, периферию и количество рабочих мест. Обсудим поставку.	Поможем сформировать ТЗ или рассчитаем готовую спецификацию.	https://ligus-msk.ru/production/computers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Российские моноблоки	4	поставка моноблоков для школы	Российские моноблоки для организаций	Моноблоки для учреждений — подбор и поставка	Подберём моноблоки под ваши рабочие задачи	Лигус — комплектация рабочих мест	Подбор по задачам и бюджету. Проверим модель в реестре, подготовим КП.	Учтём нужные программы, периферию и количество рабочих мест. Обсудим поставку.	Поможем сформировать ТЗ или рассчитаем готовую спецификацию.	https://ligus-msk.ru/production/computers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Российские моноблоки	4	моноблоки для госучреждений	Российские моноблоки для организаций	Моноблоки для учреждений — подбор и поставка	Подберём моноблоки под ваши рабочие задачи	Лигус — комплектация рабочих мест	Подбор по задачам и бюджету. Проверим модель в реестре, подготовим КП.	Учтём нужные программы, периферию и количество рабочих мест. Обсудим поставку.	Поможем сформировать ТЗ или рассчитаем готовую спецификацию.	https://ligus-msk.ru/production/computers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Российские моноблоки	4	моноблоки для закупки 44 фз	Российские моноблоки для организаций	Моноблоки для учреждений — подбор и поставка	Подберём моноблоки под ваши рабочие задачи	Лигус — комплектация рабочих мест	Подбор по задачам и бюджету. Проверим модель в реестре, подготовим КП.	Учтём нужные программы, периферию и количество рабочих мест. Обсудим поставку.	Поможем сформировать ТЗ или рассчитаем готовую спецификацию.	https://ligus-msk.ru/production/computers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Компьютеры и АРМ	5	российские компьютеры для организаций	Российские компьютеры и АРМ для организаций	Системные блоки и рабочие места — Лигус	Комплектация АРМ под требования закупки	Поможем подобрать компьютеры для учреждения	Компьютер, монитор, периферия и ПО. Подберём совместимую комплектацию.	Проверим реестровые записи под требования закупки. Подготовим предложение.	От задач сотрудников до спецификации. Поставки по России.	https://ligus-msk.ru/production/computers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Компьютеры и АРМ	5	системные блоки из реестра минпромторга	Российские компьютеры и АРМ для организаций	Системные блоки и рабочие места — Лигус	Комплектация АРМ под требования закупки	Поможем подобрать компьютеры для учреждения	Компьютер, монитор, периферия и ПО. Подберём совместимую комплектацию.	Проверим реестровые записи под требования закупки. Подготовим предложение.	От задач сотрудников до спецификации. Поставки по России.	https://ligus-msk.ru/production/computers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Компьютеры и АРМ	5	купить российские системные блоки	Российские компьютеры и АРМ для организаций	Системные блоки и рабочие места — Лигус	Комплектация АРМ под требования закупки	Поможем подобрать компьютеры для учреждения	Компьютер, монитор, периферия и ПО. Подберём совместимую комплектацию.	Проверим реестровые записи под требования закупки. Подготовим предложение.	От задач сотрудников до спецификации. Поставки по России.	https://ligus-msk.ru/production/computers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Компьютеры и АРМ	5	арм для госучреждений	Российские компьютеры и АРМ для организаций	Системные блоки и рабочие места — Лигус	Комплектация АРМ под требования закупки	Поможем подобрать компьютеры для учреждения	Компьютер, монитор, периферия и ПО. Подберём совместимую комплектацию.	Проверим реестровые записи под требования закупки. Подготовим предложение.	От задач сотрудников до спецификации. Поставки по России.	https://ligus-msk.ru/production/computers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
