Доп. объявление группы	Название группы	Номер группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Заголовок 3	Заголовок 4	Текст 1	Текст 2	Текст 3	Ссылка	Минус-фразы на кампанию	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Уточнения
-	Расчёт спецификации	11	расчет спецификации оборудования	Рассчитаем поставку по вашей спецификации	КП на компьютерную технику для организаций	Поставка оборудования — расчёт от Лигус	Есть перечень техники? Подготовим предложение	Пришлите спецификацию. Проверим комплектацию и уточним условия поставки.	Компьютеры, ноутбуки, МФУ и периферия. Подготовим КП под вашу закупку.	Обсудим состав, количество и сроки. При необходимости подберём замену.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Расчёт спецификации	11	коммерческое предложение на поставку компьютеров	Рассчитаем поставку по вашей спецификации	КП на компьютерную технику для организаций	Поставка оборудования — расчёт от Лигус	Есть перечень техники? Подготовим предложение	Пришлите спецификацию. Проверим комплектацию и уточним условия поставки.	Компьютеры, ноутбуки, МФУ и периферия. Подготовим КП под вашу закупку.	Обсудим состав, количество и сроки. При необходимости подберём замену.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Расчёт спецификации	11	кп на ноутбуки для закупки	Рассчитаем поставку по вашей спецификации	КП на компьютерную технику для организаций	Поставка оборудования — расчёт от Лигус	Есть перечень техники? Подготовим предложение	Пришлите спецификацию. Проверим комплектацию и уточним условия поставки.	Компьютеры, ноутбуки, МФУ и периферия. Подготовим КП под вашу закупку.	Обсудим состав, количество и сроки. При необходимости подберём замену.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Расчёт спецификации	11	поставщик компьютерной техники для госучреждений	Рассчитаем поставку по вашей спецификации	КП на компьютерную технику для организаций	Поставка оборудования — расчёт от Лигус	Есть перечень техники? Подготовим предложение	Пришлите спецификацию. Проверим комплектацию и уточним условия поставки.	Компьютеры, ноутбуки, МФУ и периферия. Подготовим КП под вашу закупку.	Обсудим состав, количество и сроки. При необходимости подберём замену.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Расчёт спецификации	11	коммерческое предложение на оргтехнику	Рассчитаем поставку по вашей спецификации	КП на компьютерную технику для организаций	Поставка оборудования — расчёт от Лигус	Есть перечень техники? Подготовим предложение	Пришлите спецификацию. Проверим комплектацию и уточним условия поставки.	Компьютеры, ноутбуки, МФУ и периферия. Подготовим КП под вашу закупку.	Обсудим состав, количество и сроки. При необходимости подберём замену.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Расчёт спецификации	11	рассчитать поставку оборудования	Рассчитаем поставку по вашей спецификации	КП на компьютерную технику для организаций	Поставка оборудования — расчёт от Лигус	Есть перечень техники? Подготовим предложение	Пришлите спецификацию. Проверим комплектацию и уточним условия поставки.	Компьютеры, ноутбуки, МФУ и периферия. Подготовим КП под вашу закупку.	Обсудим состав, количество и сроки. При необходимости подберём замену.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Помощь с подбором и ТЗ	12	помощь в подборе оборудования для закупки	Поможем подобрать технику и сформировать ТЗ	Подбор оборудования для вашей организации	Нет готовой спецификации? Начнём с задачи	Лигус — от выбора техники до предложения	Расскажите о задачах, количестве и бюджете. Поможем определить состав техники.	Подберём комплектацию и подготовим технические характеристики для закупки.	Российская техника для учреждений и бизнеса. Обсудим требования и поставку.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Помощь с подбором и ТЗ	12	подбор компьютерной техники для организаций	Поможем подобрать технику и сформировать ТЗ	Подбор оборудования для вашей организации	Нет готовой спецификации? Начнём с задачи	Лигус — от выбора техники до предложения	Расскажите о задачах, количестве и бюджете. Поможем определить состав техники.	Подберём комплектацию и подготовим технические характеристики для закупки.	Российская техника для учреждений и бизнеса. Обсудим требования и поставку.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Помощь с подбором и ТЗ	12	помощь с тз на компьютеры	Поможем подобрать технику и сформировать ТЗ	Подбор оборудования для вашей организации	Нет готовой спецификации? Начнём с задачи	Лигус — от выбора техники до предложения	Расскажите о задачах, количестве и бюджете. Поможем определить состав техники.	Подберём комплектацию и подготовим технические характеристики для закупки.	Российская техника для учреждений и бизнеса. Обсудим требования и поставку.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Помощь с подбором и ТЗ	12	подготовка спецификации компьютерного оборудования	Поможем подобрать технику и сформировать ТЗ	Подбор оборудования для вашей организации	Нет готовой спецификации? Начнём с задачи	Лигус — от выбора техники до предложения	Расскажите о задачах, количестве и бюджете. Поможем определить состав техники.	Подберём комплектацию и подготовим технические характеристики для закупки.	Российская техника для учреждений и бизнеса. Обсудим требования и поставку.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
